iter	MultiClass
548	0.3597600185
549	0.3593277341
550	0.3590464784
551	0.3589050502
552	0.3584159221
553	0.3580573873
554	0.3577726355
555	0.3574019597
556	0.3570028963
557	0.3568094284
558	0.3562752185
559	0.3561058393
560	0.3557235557
561	0.3554875825
562	0.3552371405
563	0.3548934242
564	0.3544304077
565	0.3542740968
566	0.3539582714
567	0.3535658977
568	0.3532672478
569	0.3529761585
570	0.3526524584
571	0.3522878032
572	0.3520067589
573	0.3519041609
574	0.3514837563
575	0.3512672241
576	0.351124204
577	0.3508225892
578	0.3506558439
579	0.3501502256
580	0.3496942345
581	0.3494387304
582	0.3493219757
583	0.3491067118
584	0.34888888
585	0.3485816585
586	0.3484472893
587	0.3481047041
588	0.3478163243
589	0.347511882
590	0.3471693368
591	0.3467864155
592	0.3466551522
593	0.3463142815
594	0.3458915716
595	0.3455497694
596	0.345260127
597	0.3448844937
598	0.3446647793
599	0.3443593133
600	0.3441336397
601	0.343789418
602	0.3434027166
603	0.3431637114
604	0.3429251705
605	0.34268939
606	0.3425017518
607	0.3420769249
608	0.3418585271
609	0.3416440667
610	0.3414601282
611	0.341152415
612	0.3408841855
613	0.3405247063
614	0.3402485039
615	0.3401372417
616	0.3398376887
617	0.3394527329
618	0.3392651291
619	0.3388874515
620	0.3386384105
621	0.3381722995
622	0.3379063641
623	0.3375622562
624	0.3373593357
625	0.3371689997
626	0.3368653345
627	0.3364185692
628	0.3362284479
629	0.3359833455
630	0.3356066097
631	0.3354026592
632	0.335323491
633	0.3350555077
634	0.3348251013
635	0.3347227466
636	0.3342424815
637	0.3339142032
638	0.3336560758
639	0.3333913337
640	0.3330445545
641	0.3327469306
642	0.3324124776
643	0.3321457802
644	0.3319338364
645	0.3316651338
646	0.3313756942
647	0.3311687327
648	0.3308452274
649	0.3307132127
650	0.3304851907
651	0.3301588159
652	0.3299509381
653	0.3298048493
654	0.3296350061
655	0.329442457
656	0.3291903768
657	0.3289492768
658	0.3286588829
659	0.3283053014
660	0.3280646895
661	0.3278346361
662	0.3275638794
663	0.3271600875
664	0.326803838
665	0.3265575449
666	0.3263530084
667	0.3261823116
668	0.3258915147
669	0.3256756936
670	0.3254497649
671	0.3252369216
672	0.324910763
673	0.3245382491
674	0.3243888294
675	0.3240346956
676	0.3237006572
677	0.3234690954
678	0.3232361557
679	0.3229433863
680	0.3225350655
681	0.3224420731
682	0.3220766416
683	0.3218744245
684	0.3215733795
685	0.3212179458
686	0.3209110096
687	0.3208191396
688	0.3205197149
689	0.3203823388
690	0.3202912341
691	0.3199724192
692	0.3196865404
693	0.3195192917
694	0.3192305819
695	0.3190905798
696	0.3188271207
697	0.3185116389
698	0.318289169
699	0.3181282616
700	0.3179515656
701	0.3177201459
702	0.3173097287
703	0.3171023832
704	0.3168545177
705	0.3164751103
706	0.3163148222
707	0.3160598548
708	0.3158261155
709	0.3155442101
710	0.3152661936
711	0.3151420993
712	0.3148537663
713	0.3146611288
714	0.3144566721
715	0.3140991253
716	0.3139226168
717	0.3134147286
718	0.3132058826
719	0.3130302883
720	0.3128756101
721	0.3127379649
722	0.3125493979
723	0.3121748509
724	0.3119809105
725	0.3117412406
726	0.3114026725
727	0.311259621
728	0.3109073657
729	0.3105255331
730	0.3104086781
731	0.3101526382
732	0.3096499778
733	0.3093033474
734	0.3090054364
735	0.308671092
736	0.3083448602
737	0.3079938423
738	0.3077968744
739	0.3074856665
740	0.3071683851
741	0.3069196247
742	0.3066958041
743	0.3065041001
744	0.3063745709
745	0.3061039063
746	0.3058468918
747	0.3056378612
748	0.3054074262
749	0.305059698
750	0.3048207299
751	0.3045217152
752	0.304273336
753	0.3039579067
754	0.3037759784
755	0.3035713631
756	0.3033215451
757	0.3030641394
758	0.3027230589
759	0.3025878777
760	0.3023008662
761	0.301968903
762	0.3016394751
763	0.3013209903
764	0.301065117
765	0.3007366022
766	0.3005475484
767	0.3002816203
768	0.3000265817
769	0.2998495901
770	0.2996787428
771	0.2992994111
772	0.2991114243
773	0.2989950158
774	0.2986752473
775	0.2982952658
776	0.2979322143
777	0.2977901357
778	0.2975547182
779	0.2973771659
780	0.2973470534
781	0.2971833849
782	0.2970443687
783	0.2968323674
784	0.2965943764
785	0.2963103377
786	0.296174941
787	0.2958389514
788	0.2955878032
789	0.2954045647
790	0.2950326646
791	0.2947979917
792	0.2945734946
793	0.2944058146
794	0.2940821713
795	0.2938742359
796	0.2936343046
797	0.293384042
798	0.2931714101
799	0.2929561993
800	0.2927307717
801	0.2926031431
802	0.2922295947
803	0.2920797164
804	0.2919564159
805	0.2918076081
806	0.2915966029
807	0.2914131046
808	0.2910998812
809	0.2909435463
810	0.2908012806
811	0.2906593469
812	0.2903760629
813	0.2901065334
814	0.2898643706
815	0.2896462544
816	0.2893876906
817	0.2891689418
818	0.2889690356
819	0.2885868615
820	0.2884073243
821	0.2881071149
822	0.287809568
823	0.2876525257
824	0.2874158583
825	0.2871475597
826	0.286878654
827	0.2866457997
828	0.2863690208
829	0.2861807936
830	0.2860005314
831	0.2858725627
832	0.2856018346
833	0.2854700114
834	0.2853839042
835	0.2851703454
836	0.285044975
837	0.2848692297
838	0.2845188456
839	0.2843229771
840	0.2841004943
841	0.283999251
842	0.2837775304
843	0.2835174836
844	0.2832833812
845	0.283051754
846	0.2828311078
847	0.2827195095
848	0.2823594929
849	0.2821821414
850	0.2820988246
851	0.2820004985
852	0.2816616684
853	0.2814404686
854	0.2813189144
855	0.2811253299
856	0.2808720318
857	0.2807034213
858	0.280518553
859	0.2802290717
860	0.2799933291
861	0.2797979467
862	0.2796524839
863	0.279287527
864	0.2790542739
865	0.2786390242
866	0.2784162881
867	0.2782156642
868	0.2780032452
869	0.2777682115
870	0.2774122631
871	0.2771987094
872	0.276903957
873	0.2766607791
874	0.2765377839
875	0.2763515881
876	0.2762286193
877	0.2760393399
878	0.2758729153
879	0.275597077
880	0.2754845695
881	0.2753859767
882	0.2752434055
883	0.2750216847
884	0.2749280328
885	0.2747818437
886	0.2746880477
887	0.27442098
888	0.2741908778
889	0.2739937462
890	0.273675508
891	0.2734519457
892	0.2731677414
893	0.2729484539
894	0.2727278748
895	0.2725589013
896	0.2723220797
897	0.272194337
898	0.2719292657
899	0.271725279
900	0.2714720707
901	0.2713441636
902	0.2712053397
903	0.2710834865
904	0.2709375219
905	0.2706767382
906	0.2704343685
907	0.270359443
908	0.2701845247
909	0.2700660865
910	0.2697719417
911	0.2696164725
912	0.2694338768
913	0.2692148047
914	0.2691202115
915	0.2688679182
916	0.2686128514
917	0.2683484513
918	0.2680491023
919	0.2678964305
920	0.2677282697
921	0.2675622074
922	0.2674027061
923	0.2672211533
924	0.2670626323
925	0.2669396865
926	0.2667790958
927	0.2665877055
928	0.2662500378
929	0.266021716
930	0.2658647639
931	0.2656849357
932	0.2654197063
933	0.2651964272
934	0.2649916304
935	0.2648420738
936	0.2646079266
937	0.2644617092
938	0.2641195788
939	0.2640105076
940	0.2638721857
941	0.2637850597
942	0.2636237607
943	0.2635035914
944	0.263211336
945	0.2631251899
946	0.2629361527
947	0.2627253522
948	0.2625404881
949	0.2624399657
950	0.2622486701
951	0.2621229774
952	0.2618845878
953	0.2617466946
954	0.2615987813
955	0.2614835257
956	0.2612627251
957	0.2610198462
958	0.2609142652
959	0.2608046884
960	0.2604919577
961	0.2602003384
962	0.2600047469
963	0.2598798877
964	0.2598031999
965	0.2597459809
966	0.2595263465
967	0.25923827
968	0.2590117427
969	0.2589390388
970	0.2587874959
971	0.2585516206
972	0.2584121263
973	0.2582176263
974	0.2580219704
975	0.2577912613
976	0.2577011788
977	0.2574657997
978	0.2572704092
979	0.2570025822
980	0.2567266326
981	0.2564956695
982	0.256310409
983	0.2561619225
984	0.2560506737
985	0.255810232
986	0.2556986078
987	0.2554403221
988	0.2551972996
989	0.2549965185
990	0.2548296074
991	0.2545192909
992	0.2542409823
993	0.2541705471
994	0.2538914541
995	0.2537465451
996	0.2535769842
997	0.2534220557
998	0.2531946573
999	0.2529792733
